연번,비상소화장치일련번호,비상소화장치고유번호,geometry
203,110080981,000216,POINT (127.00320679532433 37.56624071391065)
204,110081008,000112,POINT (127.05392279614028 37.549163182248805)
205,110081009,000113,POINT (127.07001428705414 37.545058629064464)
206,110081011,000115,POINT (127.08101092493088 37.56863935413414)
207,110081012,000116,POINT (127.02910665159631 37.56124877568325)
208,110081015,000119,POINT (127.01839455020357 37.5516117575345)
209,110081016,000120,POINT (127.0939019933566 37.55615453640416)
210,110081018,000121,POINT (127.02355314420903 37.549715688874684)
211,110081019,000122,POINT (127.07195723948924 37.558086107102284)
212,110082544,3-11,POINT (127.08465063917427 37.585737435105784)
213,110082545,3-29,POINT (127.09250699350699 37.590181098269)
214,110082546,3-30,POINT (127.09159782265748 37.5897637797158)
215,110082547,3-31,POINT (127.09034772953487 37.58966298844115)
216,110082548,3-32,POINT (127.10285333063148 37.590055749130975)
217,110082549,2-22,POINT (127.09520150370346 37.582293759262456)
218,110082552,000284,POINT (126.93260365810471 37.49784041400981)
219,110082553,000285,POINT (126.95524381390965 37.50538061773016)
220,110082555,000288,POINT (126.98027273273371 37.48587724015935)
221,110082557,000290,POINT (126.970527653185 37.47735874762673)
222,110082558,000291,POINT (126.94215386864903 37.507165061174824)
223,110082559,000292,POINT (126.93670446007424 37.50740240140534)
224,110082561,000294,POINT (126.90555192505266 37.485227538879236)
225,110082562,000295,POINT (126.97931259429025 37.489670112706605)
226,110082563,000296,POINT (126.92936340707028 37.496395224656844)
227,110082564,000297,POINT (126.9531856274517 37.49574685529361)
228,110082566,000299,POINT (126.9374044606859 37.51148660913366)
229,110082570,000303,POINT (126.94341144913773 37.51210690250784)
230,110082571,000304,POINT (126.93704675387038 37.50955918961544)
231,110082572,000305,POINT (126.945900821644 37.49511454870732)
232,110082573,000306,POINT (126.93221720118345 37.50268912373688)
233,110082574,000307,POINT (126.93709904660538 37.49868109878115)
234,110082576,000320,POINT (126.91225088756794 37.48998017051485)
235,110082578,000318,POINT (126.94269449143128 37.49873682224607)
236,110082579,000324,POINT (126.97063859599287 37.50443100032836)
237,110082581,000322,POINT (126.96740597751143 37.49320624278282)
